,Title,Location,Price,Area,Status
210,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
211,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
212,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
213,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
214,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
215,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
216,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
217,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
218,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
219,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
220,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
221,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
222,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
223,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
224,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
225,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
226,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
227,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
228,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
229,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
230,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
231,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
232,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
233,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
234,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
235,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
236,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
237,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
238,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
239,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
240,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
241,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
242,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
243,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
244,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
245,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
246,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
247,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
248,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
249,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
250,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
251,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
252,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
253,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
254,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
255,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
256,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
257,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
258,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
259,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
260,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
261,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
262,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
263,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
264,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
265,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
266,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
267,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
268,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
269,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
270,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
271,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
272,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
273,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
274,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
275,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
276,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
277,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
278,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
279,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
280,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
281,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
282,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
283,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
284,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
285,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
286,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
287,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
288,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
289,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
290,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
291,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
292,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
293,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
294,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
295,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
296,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
297,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
298,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
299,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
300,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
301,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
302,2 BHK Independent House,"Shaikpet, Hyderabad","12,000",1200,Unfurnished
303,5 BHK Villa,"Nallagandla Gachibowli, Hyderabad","80,000",4000,Semi-Furnished
304,5 BHK Villa,"Moinabad, Hyderabad",200000,7000,Furnished
305,2 BHK Apartment,"Chintalmet, Hyderabad","10,000",1000,Semi-Furnished
306,3 BHK Independent House,"Bolarum, Hyderabad","18,000",2000,Semi-Furnished
307,2 BHK Independent Floor,"Upparpally, Hyderabad","18,000",1700,Furnished
308,2 BHK Apartment,"Boiguda, Hyderabad","17,000",900,Unfurnished
309,3 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad","16,000",1570,Semi-Furnished
310,2 BHK Apartment,"Moosapet, Hyderabad","15,000",1100,Semi-Furnished
311,3 BHK Apartment,"Somajiguda, Hyderabad","20,000",1500,Semi-Furnished
312,3 BHK Independent House,"Kothapet, Hyderabad","40,000",1700,Semi-Furnished
313,1 BHK Independent Floor,"Attapur, Hyderabad","8,000",700,Unfurnished
314,7 BHK Independent Floor,"Miyapur, Hyderabad",150000,9900,Semi-Furnished
315,3 BHK Apartment,"Ramachandra Puram, Hyderabad","18,000",1300,Semi-Furnished
316,3 BHK Apartment,"Gajulramaram Kukatpally, Hyderabad","27,000",1620,Semi-Furnished
317,3 BHK Apartment,"Krishna Reddy Pet, Hyderabad","18,000",1360,Semi-Furnished
318,3 BHK Apartment,"Pocharam, Hyderabad","12,000",1500,Semi-Furnished
319,2 BHK Independent House,"Kothapet, Hyderabad","13,500",1400,Unfurnished
320,4 BHK Independent House,"Old Bowenpally, Hyderabad","16,500",1000,Unfurnished
321,2 BHK Independent House,"Khairatabad Road, Hyderabad","14,000",700,Semi-Furnished
